Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NGS069-24-18S-4_S17_L001_R2_001	(1.0, 6.023682855671873)	(2.0, 1.4522910588639093)	(3.0, 0.894542646301699)	(4.0, 0.6135232538184314)	(5.0, 0.4880298609919341)	(6.0, 0.5341513643384246)	(7.0, 0.3153423717178651)	(8.0, 0.3003260683027287)	(9.0, 0.23168010983353354)	('>10', 4.5081088038441735)	('>50', 2.9893169727132314)	('>100', 8.535695898403981)	('>500', 6.321863737772439)	('>1k', 25.95460785996224)	('>5k', 8.518534408786682)	('>10k+', 32.31830272867685)
NGS069-24-18S-5_S21_L001_R1_001	(1.0, 0.5753049377079121)	(2.0, 0.22177287848150806)	(3.0, 0.19568195160133064)	(4.0, 0.1565455612810645)	(5.0, 0.11740917096079839)	(6.0, 0.0626182245124258)	(7.0, 0.10045006848868306)	(8.0, 0.09392733676863871)	(9.0, 0.046963668384319354)	('>10', 2.2503424434153025)	('>50', 1.0058052312308394)	('>100', 4.3115256669493185)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 90.86165286021786)
NGS069-24-18S-5_S21_L001_R2_001	(1.0, 5.64999021590242)	(2.0, 1.4010827734655273)	(3.0, 0.8531733089818015)	(4.0, 0.6574913573804709)	(5.0, 0.49572761072337096)	(6.0, 0.38353662513860803)	(7.0, 0.33787750309829756)	(8.0, 0.2713456395538451)	(9.0, 0.23481834192159678)	('>10', 4.349357510925576)	('>50', 3.0448111669167046)	('>100', 8.212119235535841)	('>500', 5.514317396125498)	('>1k', 26.69884547648555)	('>5k', 6.564477203052639)	('>10k+', 35.33102863479225)
NGS069-24-18S-6_S25_L001_R1_001	(1.0, 0.6749156355455568)	(2.0, 0.26036071333779903)	(3.0, 0.15545809582790915)	(4.0, 0.07583321747702886)	(5.0, 0.10111095663603846)	(6.0, 0.09099986097243463)	(7.0, 0.1061665044678404)	(8.0, 0.11122205229964233)	(9.0, 0.11374982621554328)	('>10', 2.5050239506578533)	('>50', 0.6534295572603986)	('>100', 5.505491588832294)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 89.64623804046965)
NGS069-24-18S-6_S25_L001_R2_001	(1.0, 5.840421632689172)	(2.0, 1.5040254799610722)	(3.0, 0.8569153574904261)	(4.0, 0.5763324528254193)	(5.0, 0.4739576092314303)	(6.0, 0.5004992353483905)	(7.0, 0.3361939308148279)	(8.0, 0.29322177424451157)	(9.0, 0.2957495481604125)	('>10', 4.816673196749282)	('>50', 3.322758812451814)	('>100', 10.390414681310904)	('>500', 3.401119803844744)	('>1k', 32.24681184514857)	('>5k', 18.929234969224353)	('>10k+', 16.21566967050467)
NGS069-24-18S-7_S30_L001_R1_001	(1.0, 0.5606589899512658)	(2.0, 0.2264199767110881)	(3.0, 0.16819769698537976)	(4.0, 0.08625522922327165)	(5.0, 0.1024280847026351)	(6.0, 0.07762970630094448)	(7.0, 0.12075732091258032)	(8.0, 0.06900418337861733)	(9.0, 0.06792599301332643)	('>10', 1.9353517056971576)	('>50', 0.960667615474188)	('>100', 4.093888817009531)	('>500', 0.6458360288092465)	('>1k', 1.7930305774787596)	('>5k', 0.0)	('>10k+', 89.09194807435202)
NGS069-24-18S-7_S30_L001_R2_001	(1.0, 4.325699745547073)	(2.0, 1.0178117048346056)	(3.0, 0.6113339371199379)	(4.0, 0.4916548065726485)	(5.0, 0.3396299650666322)	(6.0, 0.3169879673955234)	(7.0, 0.2264199767110881)	(8.0, 0.2760167335144693)	(9.0, 0.22318540561521544)	('>10', 4.0432138698408595)	('>50', 1.6474748781644888)	('>100', 7.223875447449002)	('>500', 6.028162332341398)	('>1k', 18.1664294647863)	('>5k', 8.914477940225126)	('>10k+', 46.14762582481563)
NGS069-24-18S-8_S35_L001_R1_001	(1.0, 0.6520381071372794)	(2.0, 0.26029465354781617)	(3.0, 0.1600812119319069)	(4.0, 0.14576500598677702)	(5.0, 0.08459576240304023)	(6.0, 0.07027955645791036)	(7.0, 0.07288250299338851)	(8.0, 0.10411786141912645)	(9.0, 0.10541933468686553)	('>10', 2.1187984798792234)	('>50', 1.2533187568327346)	('>100', 4.401582591493571)	('>500', 0.0)	('>1k', 1.6372533708157635)	('>5k', 0.0)	('>10k+', 88.9335728044146)
NGS069-24-18S-8_S35_L001_R2_001	(1.0, 5.148628247175803)	(2.0, 1.1973554063199543)	(3.0, 0.7496486022177105)	(4.0, 0.3644125149669426)	(5.0, 0.3774272476443334)	(6.0, 0.4216773387474621)	(7.0, 0.3188609505960748)	(8.0, 0.2290592951220782)	(9.0, 0.2811182258316414)	('>10', 4.4809724608256545)	('>50', 2.047217450153574)	('>100', 11.21219220157218)	('>500', 2.27887969181113)	('>1k', 17.15471914206882)	('>5k', 21.121609662137537)	('>10k+', 32.6162215628091)
NGS069-24-18S-9_S2_L001_R1_001	(1.0, 0.4751069253945178)	(2.0, 0.24650780608052586)	(3.0, 0.13589532899311044)	(4.0, 0.07584855571708489)	(5.0, 0.08427617301898321)	(6.0, 0.13905568548132227)	(7.0, 0.0958641468090934)	(8.0, 0.03371046920759328)	(9.0, 0.12325390304026293)	('>10', 1.9078018667172323)	('>50', 1.0365969281334935)	('>100', 4.842719592103323)	('>500', 0.0)	('>1k', 1.2241114131007311)	('>5k', 0.0)	('>10k+', 89.57925120620273)
NGS069-24-18S-9_S2_L001_R2_001	(1.0, 4.320207319385626)	(2.0, 1.108231675199629)	(3.0, 0.6984387838948234)	(4.0, 0.3918842045382719)	(5.0, 0.3845100393991109)	(6.0, 0.33499778775045824)	(7.0, 0.2654699450097971)	(8.0, 0.26968375366074626)	(9.0, 0.24650780608052586)	('>10', 3.601752944398795)	('>50', 2.0468575521985546)	('>100', 10.401786654868001)	('>500', 6.143733013083876)	('>1k', 13.143922634473167)	('>5k', 5.804521416682468)	('>10k+', 50.837494469376146)
